name,pos,ht,pts,rb,ast,stl,blk,to
Giannis Antetokounmpo,PF,6’11,20,8.9,4.3,1.2,1.3,2.8
Kobe Bryant,SG,6’6,25,5.2,4.7,1.4,0.5,3
Stephen Curry,PG,6’3,23.5,4.5,6.6,1.7,0.2,3.1
Anthony Davis,PF,6’10,24,10.4,2.2,1.4,2.4,1.9
Tim Duncan,PF,6’11,19,10.8,3,0.7,2.2,2.4
Kevin Durant,SF,6’10,27,7.1,4.1,1.1,1.1,3.1
James Harden,SG,6’5,25.1,5.3,6.3,1.6,0.5,3.7
LeBron James,SF,6’9,27.1,7.4,7.4,1.6,0.8,3.5
Michael Jordan,SG,6’6,30.1,6.2,5.3,2.3,0.8,2.7
Kawhi Leonard,SF,6’7,18.6,6.4,2.7,1.8,0.7,1.6
Shaquille O’Neal,C,7’1,23.7,10.9,2.5,0.6,2.3,2.7
Chris Paul,PG,6’1,18.5,4.5,9.5,2.2,0.1,2.4
Russell Westbrook,PG,6’3,23.2,7.1,8.3,1.8,0.3,4.1
